instructions_covered,branches_covered,time_taken_nanos
418,28,8870389
644,44,9055480
1000,60,9189925
1003,61,9281418
1003,61,9365778
1042,67,11628067
1045,68,11863454
1107,73,12469583
1110,74,12877075
1183,79,15434444
1186,80,15555073
1500,96,19278502
1503,97,19487809
1503,97,19736310
1546,104,24214842
1546,104,24295364
1933,129,26157294
1936,130,26291769
1939,131,26442405
1939,131,26701687
2110,136,27168812
2113,137,27300261
2184,142,29630710
2187,143,30074732
2448,155,31069839
2451,156,31484034
2452,157,33510546
2521,162,33703792
2524,163,33795426
2598,169,37440287
2601,170,37554494
2664,175,39190385
2667,176,39592177
2669,177,42329767
2672,178,45473628
2672,178,45580120
2672,178,66651601
2672,178,117576564
