instructions_covered,branches_covered,time_taken_nanos
462,30,9722704
465,31,10345565
587,41,13033030
626,44,13139482
626,44,13235644
626,45,13330083
669,52,14176198
669,52,14249907
925,73,17536579
948,74,17660053
948,74,17876594
951,75,17986061
951,75,19055048
951,75,19450718
989,80,20194318
992,81,20314716
1115,91,23919892
1131,94,24026955
1134,95,24131463
1157,96,24595142
1280,101,25659831
1283,102,25812250
1361,109,29897555
1364,110,30252478
1424,115,31812115
1427,116,32007475
1428,117,33250392
1428,117,59664442
1429,118,61089885
1429,118,68209784
1429,118,69541699
1429,118,72969618
1429,118,109637089
1429,118,109814716
