instructions_covered,branches_covered,time_taken_nanos
529,29,8961501
532,30,9560036
591,35,11385597
594,36,11612267
1096,60,15645173
1096,60,15737438
1099,61,15824503
1102,62,16444859
1163,67,19123628
1210,74,19361008
1210,74,19428977
1274,80,22479281
1274,80,22575423
1346,88,26236193
1349,89,26457533
1405,96,28903550
1405,96,29003570
1503,101,30021911
1506,102,30255734
1547,107,32512082
1550,108,32634575
1618,116,33918729
1621,117,34105844
1769,125,37690610
1799,127,37864800
1802,128,37950423
1963,136,38048268
2061,141,43263366
2064,142,43476260
2206,150,45573696
2206,150,45681431
2373,165,45929471
2408,168,46066130
2449,171,46974502
2508,175,48872891
2511,176,49009490
2569,180,51593189
2637,184,51860887
2640,185,51980153
2640,186,53739809
2640,186,53816695
2643,187,81794259
2646,188,143084893
