instructions_covered,branches_covered,time_taken_nanos
376,23,8663806
376,23,8753275
381,25,9254005
384,26,9404350
480,34,12120039
845,49,12387766
848,50,12544994
848,50,12641898
891,56,15239443
894,57,15404596
954,63,18394875
957,64,18622367
1001,72,18846622
1004,73,18964635
1080,79,20298224
1083,80,20433861
1113,82,20690167
1274,90,20794014
1864,141,22610187
1966,156,23005778
1969,157,24265265
1969,157,27907731
2055,168,28726604
2058,169,28888741
2126,175,31796985
2129,176,32329865
2135,179,33323309
2138,180,110796614
2138,180,122294143
2138,180,338107815
