instructions_covered,branches_covered,time_taken_nanos
271,10,7762537
372,17,8089106
372,17,8203874
516,27,10745022
516,27,11699671
566,31,13647554
569,32,13751752
633,40,16025753
636,41,16388200
679,46,18674255
745,52,21041553
748,53,21172902
814,59,24293979
814,59,24392236
981,73,25525594
981,73,25923729
1060,78,28612988
1063,79,28805302
1124,85,30661842
1127,86,30821294
1229,95,31894429
1232,96,32050284
1296,102,35327698
1296,102,35410756
1349,108,39621549
1559,115,40304143
1562,116,40682290
1635,123,42999093
1638,124,43068885
1642,125,46411352
1645,126,49143652
