instructions_covered,branches_covered,time_taken_nanos
487,32,9139528
490,33,9303269
550,38,13180460
553,39,13626595
755,49,15268859
758,50,15410317
761,51,15775760
761,51,15907009
853,57,16368714
853,57,16494002
912,63,20164921
912,63,20247177
1025,70,22092155
1028,71,22201382
1091,76,25869346
1094,77,26068604
1134,82,28948995
1137,83,29161187
1207,89,31573551
1210,90,31824808
1340,107,35520895
1343,108,35612970
1382,115,36079614
1385,116,36210352
1446,122,37486752
1487,128,37809474
1490,129,37955511
1565,136,40019784
1568,137,40150282
1643,146,44423624
1646,147,44654762
1731,154,48467811
1731,154,48557741
1732,155,48670846
1832,162,50540961
1832,162,50730982
1893,167,54677655
1896,168,54771713
1936,173,56620678
1939,174,56762337
2114,180,58674372
2117,181,59051868
2220,191,59497452
2220,191,59595278
2223,192,59684878
2223,192,59890488
2260,196,62574556
2331,207,63140950
2356,209,63226332
2356,209,63461137
2417,214,65665276
2420,215,66025849
2518,224,69450813
2518,224,69542306
2519,225,70464094
2583,231,74628048
2583,231,74720323
2625,237,79276061
2625,237,79356734
2688,242,79940651
2691,243,80035150
2742,249,82345550
2767,251,82425572
2767,251,83093599
2769,253,86287614
2772,254,131180707
