instructions_covered,branches_covered,time_taken_nanos
440,33,9260988
443,34,9880392
618,46,13492751
621,47,13647013
621,47,13749177
700,56,18567592
703,57,19076577
742,62,20086231
745,63,20160672
808,68,22416960
811,69,22990337
881,78,25584064
884,79,25678533
945,86,30683192
945,86,30782650
1008,92,33176028
1011,93,33371178
1073,98,34148803
1076,99,34334655
1194,107,35985174
1197,108,36086015
1197,109,36186406
1255,114,36538834
1258,115,36676846
1316,120,37640472
1319,121,37915714
1360,128,40336394
1363,129,40455539
1380,131,40811715
