instructions_covered,branches_covered,time_taken_nanos
827,45,8443407
830,46,8879604
896,52,11966296
1254,67,12091413
1257,68,12204368
1258,69,12726768
1301,76,13257584
1301,76,13317488
1487,91,15859477
1490,92,15947664
1738,105,17858968
1738,105,17942537
1741,106,18118630
1778,113,22898422
1778,113,22971200
1821,120,25565358
1824,121,25654868
1993,130,25740791
1996,131,25856460
2195,139,27246586
2195,139,27334422
2195,140,27503954
2238,146,29382535
2241,147,29555183
2281,153,31990119
2281,153,32095308
2285,154,33137905
2288,155,47707407
2288,155,96976666
2288,155,98063497
2288,155,126477416
2289,156,372817380
