instructions_covered,branches_covered,time_taken_nanos
356,34,8411146
396,35,8522948
399,36,8613861
454,41,8730682
507,50,8968353
519,52,9807203
566,59,11240300
566,59,11361831
647,65,12037802
650,66,12132852
655,68,12242731
769,78,15598463
772,79,15730954
955,90,16037285
1033,94,16283962
1100,101,19002456
1103,102,19215300
1159,114,19893746
1162,115,20048159
1233,126,22106020
1236,127,22251406
1261,134,23360729
1331,141,24109218
1334,142,24194189
1386,149,24388518
1538,160,25628178
1672,169,28575085
1672,169,28686947
1920,185,29734173
2000,190,29988134
2081,195,30324111
2084,196,31783598
2126,203,36914476
2126,203,37008624
2169,210,40768713
2172,211,40899671
2235,216,43630378
2238,217,44139975
2444,244,47389786
2447,245,50590895
2728,270,65023758
2728,271,98745360
2736,274,108397890
2739,276,131126501
2739,276,139720885
2742,277,140238726
2742,277,140779902
2747,279,153908342
2747,279,157654505
2747,279,163631757
2747,279,163859458
2747,279,181862640
2747,279,186797516
2775,285,231817890
2775,285,326944078
2775,285,337411172
2775,285,359359975
2775,285,359720278
2775,285,365471792
2775,285,370339530
2775,285,373181468
2775,285,556101133
2775,285,559704194
2775,285,573683437
2775,285,592034668
2775,285,678782282
2775,285,758781711
2775,285,776115033
2775,285,783271722
2775,285,784959962
2775,285,788752553
2775,285,823056058
2775,285,848505838
2775,285,855621658
2775,285,856790294
2775,285,857777636
2775,285,875159551
2775,285,1080491385
2775,285,1146010733
2775,285,1147026368
2775,285,1169441925
2775,285,1173160465
2775,285,1180400471
2775,285,1184769324
2775,285,1335872649
2775,285,1360342941
2775,285,1372714687
2775,285,1389083780
2775,285,1393079476
2775,285,1411677816
2775,285,1476936088
2775,285,6842733641
2775,285,7063764418
2775,285,7736479124
2775,285,8024609634
2775,285,8325643648
2775,285,8510735179
2775,285,8561871187
2775,285,8650534031
2775,285,8657014938
2775,285,9136379886
2775,285,9138378465
2775,285,9154605409
