instructions_covered,branches_covered,time_taken_nanos
384,26,8923137
386,27,9084373
596,36,11693149
596,38,11807105
599,39,12087176
876,50,16047464
879,51,16293891
1049,57,21576897
1052,58,21999308
1202,66,23138708
1205,67,23241743
1205,67,23378913
1515,79,24113386
1515,79,24226069
1518,80,24362187
1521,81,25166773
1832,89,26594159
1867,92,26782566
1867,92,27095319
1900,94,27814102
2207,102,29703183
2207,102,29988604
2210,103,30742584
2213,105,31215530
2213,105,31445025
2216,106,79484052
2219,107,93352955
2222,108,125235150
