instructions_covered,branches_covered,time_taken_nanos
442,20,9423045
445,21,9506964
445,21,9584050
483,22,9681084
588,27,13565158
686,32,13785967
689,33,14195343
797,39,14942680
800,40,15188907
1001,48,19256809
1004,49,19378079
1004,49,19539054
1094,58,19948500
1097,59,20049472
1190,64,20409835
1193,65,20635242
1482,81,22233883
1485,82,22350925
1485,82,22494016
1560,88,23689182
1563,89,23851149
1663,95,25731443
1666,96,25987138
1803,104,27464669
2092,117,27597491
2095,118,27713291
2138,119,27828539
2181,120,27952143
2414,130,31495511
2521,135,31691924
2524,136,32275921
2720,144,33165497
2884,149,33327044
2884,149,33581095
2885,150,37704513
3057,155,38970102
3060,156,39221368
3301,165,42535341
3301,165,42700224
3304,166,42920221
3405,172,48585181
3408,173,48770372
3576,179,48975291
3579,180,49121788
3580,181,53285342
3583,182,60881473
3941,196,78580348
3944,197,121812911
3987,198,122319632
3988,199,148050665
3989,201,162688687
3989,201,304416374
3990,202,1189577736
