instructions_covered,branches_covered,time_taken_nanos
785,56,8845710
785,56,9005062
840,62,9165396
843,63,9269724
910,69,11024671
960,71,11143827
1217,84,11257963
1220,85,11385966
1265,92,15558827
1268,93,15773274
1486,104,16829296
1486,104,16926210
1528,107,17023003
1584,113,17422881
1587,114,17778586
1674,123,18198682
1674,123,18300906
1704,126,18552733
1835,132,19453411
1898,138,19965843
1901,139,20063538
1938,146,23069356
1938,146,23176339
2176,155,23748544
2176,155,23856869
2179,156,24142992
2244,163,24748740
2244,163,24838951
2248,165,27211560
2251,166,29582515
2254,167,30332917
2254,167,65965251
2254,167,70797052
2255,168,502948070
