instructions_covered,branches_covered,time_taken_nanos
436,28,10262256
436,28,10359951
439,29,10453338
508,35,10656985
511,36,12133905
556,43,13113462
556,43,13192281
657,51,15166644
657,51,15309595
1028,67,15683725
1031,68,16052794
1072,74,19721680
1075,75,19846867
1148,80,22232620
1151,81,22387013
1349,96,25256383
1352,97,25355010
1352,97,26730858
1627,111,28548384
1627,111,28664855
1670,118,28811443
1670,118,28941519
1708,123,31802623
1711,124,31905378
1751,130,32834309
1751,130,32964526
1801,138,34693855
1801,138,34829993
1889,145,35241704
1892,146,35385867
2148,158,35725080
2151,159,35834778
2151,159,35981456
2211,165,36301232
2214,166,36848099
2217,168,40442975
2218,169,40971306
2260,172,82593265
2290,174,96978788
2458,183,133989455
2458,183,229962656
2458,183,316773017
2459,184,361329569
