instructions_covered,branches_covered,time_taken_nanos
475,31,8649559
475,31,8748546
478,32,8842024
658,37,9011946
673,39,9113218
676,40,9387428
832,53,10031819
1112,68,10266344
1115,69,11467140
1177,74,12902682
1180,75,13231756
1262,82,13595094
1262,82,13680386
1339,88,13831432
1380,94,13988781
1383,95,14110752
1440,100,15258408
1443,101,15412670
1508,109,16035992
1508,109,16127595
1687,114,16285104
1754,122,20094326
1757,123,20302601
1817,128,21897775
2061,140,22001281
2064,141,22185811
2067,143,22370842
2239,149,24172277
2239,149,24271736
2364,160,24437650
2602,174,24559131
2605,175,25225273
2669,182,29336568
2672,183,29561965
2736,188,33689741
2976,198,34590278
2979,199,34800607
2979,199,34920905
3024,205,36286093
3024,205,36394318
3085,211,37843125
3088,212,37929629
3092,213,38806391
3092,213,41818331
3095,214,78968733
3388,227,83027037
3388,227,97838377
3391,228,133930993
3477,232,249312129
3478,233,1110282610
3478,233,5016938439
3478,233,5703574005
3478,233,6124961913
3478,233,6839542508
