instructions_covered,branches_covered,time_taken_nanos
531,32,9716351
534,33,10159972
624,40,12799426
625,41,12921728
737,52,16836530
740,53,16998386
801,58,18912254
804,59,19118586
863,71,21289782
863,71,21375564
939,80,23962579
942,81,24127121
1040,87,28511423
1043,88,28707084
1155,93,31530267
1158,94,31659101
1268,103,37019322
1271,104,37436974
1406,111,40673691
1409,112,41291021
1451,118,43514777
1451,118,43601111
1492,123,44191640
1495,124,44474346
1556,129,44802769
1559,130,44972751
1562,131,46583265
