instructions_covered,branches_covered,time_taken_nanos
488,33,9697405
488,33,9799439
488,34,9891223
594,44,10040005
597,45,10408113
1321,77,12681001
1324,78,12788245
1634,99,13191719
1637,100,13365839
1729,108,17599316
1789,113,17878976
1792,114,18227957
2289,139,21430649
2292,140,21683559
2353,145,25515935
2356,146,25766269
2459,154,27007062
2459,154,27137429
2575,166,30769464
2578,167,30944315
3120,197,32779695
3123,198,33428255
3232,203,34007493
3235,204,34163378
3336,213,34622198
3339,214,35236663
3454,221,38402535
3454,221,38502795
3543,235,38951306
3543,235,39054531
3547,236,41922950
3550,237,61337807
3550,237,128247096
3550,237,212174979
3550,237,541887841
3550,237,960022464
