instructions_covered,branches_covered,time_taken_nanos
261,15,9009050
264,16,9418225
370,25,13266842
400,27,13380387
400,27,13471871
744,42,13872600
825,47,16690593
828,48,16890602
870,54,19551386
873,55,19633832
950,60,20377502
953,61,20558976
1032,65,21159715
1105,70,23126975
1108,71,23297097
1215,79,24391202
1465,92,24598254
1468,93,24781181
1471,94,25786096
1789,110,29644040
1789,110,29784036
1792,111,29927758
1839,117,30863603
1842,118,31002275
1886,124,33529747
1886,124,33646629
1946,131,35547112
1946,131,35636291
1969,132,35739787
2227,143,37176019
2230,144,37398732
2230,144,37501517
2301,151,38943009
2301,151,39024784
2305,152,42306196
2305,152,92916985
2305,152,93864030
2306,153,149614655
