instructions_covered,branches_covered,time_taken_nanos
1040,70,11010303
1042,71,11168634
1054,74,11390424
1250,94,15080510
1253,95,15264940
1253,95,15538398
1308,100,21431861
1308,101,21541439
1415,106,23150168
1417,107,23458543
1499,113,23721091
1502,114,23824918
1571,119,29029775
1574,120,29776471
1698,126,32524782
1701,127,32709542
1793,133,37790334
1796,134,38081556
1924,141,38265655
1927,142,38592545
1990,148,43102605
1990,148,43191484
2050,153,47522124
2053,154,47673220
2119,160,51783643
2122,161,51930581
2182,166,53683244
2185,167,53964627
2267,172,57634585
2270,173,58208884
2359,182,63405546
2359,182,63535542
2535,198,69062250
2535,199,69209579
2535,199,69714837
2648,204,75849077
2651,205,76238926
2912,217,78218599
2985,222,78394562
2988,223,78551901
3064,229,81933422
3067,230,82575278
3131,236,85432065
3134,237,85774995
3140,239,87996386
3141,240,89368226
3144,241,200770576
3179,244,201114187
3213,246,202949196
