instructions_covered,branches_covered,time_taken_nanos
1443,96,10294938
1444,97,10742496
1669,112,15412360
1671,113,15723700
1671,113,16065728
1973,129,20053909
1975,130,20224552
1975,131,20767742
1975,131,22896458
1975,131,23326343
2014,140,24180232
2014,140,24275041
2066,145,28047062
2108,151,28276136
2108,151,28461037
2162,159,29163038
2162,159,29280430
2217,164,30110073
2220,165,30192389
2256,171,30967619
2256,171,31044344
2294,178,31258611
2297,179,31437961
2341,185,35007228
2344,186,35099002
2344,186,35195675
2485,192,38507273
2488,193,38684820
2544,200,42317747
2546,201,42596375
2565,203,47090415
2565,203,79450384
2565,203,84783404
2565,204,98494238
2565,205,216548507
2565,205,680244803
2565,205,3790443621
