instructions_covered,branches_covered,time_taken_nanos
830,56,8633127
833,57,8728769
942,64,10061285
942,64,10158770
1025,70,10424413
1025,70,10512019
1484,97,13387481
1484,97,13526484
1485,98,13627426
1488,99,13765748
1532,105,16129780
1535,106,16233917
1852,126,19234315
1855,127,19383538
1855,127,19474530
1858,128,19849161
2038,138,20685536
2082,144,23713697
2082,144,23792377
2153,149,26209078
2156,150,26626470
2352,165,27990055
2355,166,28156250
2355,166,29399116
2505,182,31900328
2508,183,32055602
2553,189,33395813
2790,199,33866295
2832,202,33969571
2835,203,34220096
2908,210,38227283
2911,211,38310440
2926,213,38970792
2964,219,39266002
2967,220,39748737
3012,226,41767023
3015,227,41865620
3056,232,45097547
3059,233,45219739
3185,244,48043633
3185,244,48233743
3260,251,50386524
3449,261,50491103
3452,262,50593918
3455,263,50735346
3696,274,54731492
3699,275,54825911
3699,275,54919919
3767,282,58593473
3770,283,59888288
3771,284,60155164
3919,297,97318819
3921,299,97523487
4214,318,117164052
4214,318,117339485
4214,318,118969716
4214,318,123652543
4216,319,136515489
4256,321,170722599
4256,321,175051376
4257,322,437653511
4330,325,579008104
4330,325,608311367
4330,325,616511874
4330,325,828803861
4330,325,834616540
4330,325,854179849
4330,325,1100214906
4330,325,1311586258
4330,325,1349681119
4330,325,1351793834
4330,325,1576152616
4330,325,1648459257
4330,325,1868838926
4330,325,1914211294
4330,325,1915196081
4330,325,1944495196
4330,325,1974185524
4330,325,2097329001
4330,325,2204769939
4330,325,2255599432
4330,325,2324976549
4330,325,2440073692
4330,325,2574655023
4330,325,2611423269
4330,325,2648578579
4330,325,2664794962
4330,325,2981345022
4330,325,3107951595
4330,325,3691987419
4330,325,4031843754
4330,325,4124784002
4330,325,4126795214
4330,325,4200329131
4330,325,4219701778
4330,325,4414892583
4330,325,4666302630
4330,325,5343457541
4330,325,5505522466
4330,325,5798255944
4330,325,6220352140
4330,325,6389128638
4330,325,6452848329
4330,325,6693273801
4330,325,6728533106
4330,325,6866724762
4330,325,6970009661
4330,325,7295263631
4330,325,7412953108
4330,325,7578652714
4330,325,8876985711
4330,325,9065185733
4330,325,9594872009
4330,325,9595427853
4330,325,9610305798
4330,325,9846980749
