instructions_covered,branches_covered,time_taken_nanos
4630,101,8453446
4633,102,8923177
4725,109,12368408
4728,110,12527169
4993,136,17006882
5003,139,17234864
5003,140,17577123
5004,141,17782091
5004,141,18144829
5233,166,19157840
5236,168,21496513
5236,168,21873648
5271,180,22644139
5271,180,23103580
5274,181,23277690
5322,192,24314275
5322,193,24777894
5512,219,25695564
5512,219,25844356
5512,219,26000772
5512,219,29122401
5735,229,32607307
5735,229,32740660
5757,232,32929488
5762,234,33242511
5764,235,33514717
5777,243,33673598
5802,245,34696217
5860,249,38560193
5863,250,38965631
5909,254,41731415
5912,255,41895606
5943,259,42066820
5943,259,42159827
5945,260,42311073
5945,261,44309923
5945,261,53669988
5945,261,172771681
5945,261,194169407
