instructions_covered,branches_covered,time_taken_nanos
579,41,8292661
582,42,8383343
690,52,8615543
693,53,8825572
814,60,12514114
814,60,12624132
904,68,15385498
904,68,15500155
1011,77,19225136
1014,78,19629152
1164,83,21005983
1167,84,21454353
1318,89,26974197
1321,90,27493692
1376,97,31426197
1379,98,31788875
1432,104,35931979
1435,105,36061805
1785,140,39259347
2036,158,39929879
2070,165,40484239
2073,166,40596382
2176,177,42241130
2183,180,45061287
2242,188,47023757
2242,188,47259624
2355,193,63171109
2395,195,64206251
2446,198,86704854
2460,203,87064345
2547,214,94903256
2580,216,100528140
2588,218,101018540
2799,238,101774663
2804,242,106814207
2810,244,107939070
2843,246,121422922
2843,246,131965048
2891,251,136366953
2930,253,150270701
3189,271,246358644
3189,271,450803688
3189,271,779480419
