instructions_covered,branches_covered,time_taken_nanos
495,32,8994070
495,32,9100823
498,33,9197666
578,41,9347811
578,41,9472838
608,43,9565434
945,57,9712933
981,63,12786229
982,64,12893623
1042,70,14195181
1045,71,14395651
1155,76,17597110
1158,77,18084313
1267,83,21274592
1270,84,21422041
1314,91,25459465
1314,91,25537724
1426,96,28350225
1429,97,28982023
1598,102,30602345
1601,103,30727643
1680,109,31386201
1683,110,31495338
1713,112,31621638
1874,120,31763767
2306,156,33972374
2309,157,34656320
2654,170,36228230
2654,170,36343439
2657,171,37040611
2690,173,37721592
2762,180,42048524
2762,180,42159394
2765,181,42836408
2828,187,45471544
2828,187,45558188
2945,192,46468393
2945,192,46569535
2948,193,47585922
2951,196,50927036
2951,196,170419989
2954,197,251942688
2957,198,1247162108
2957,198,3879604466
