instructions_covered,branches_covered,time_taken_nanos
203,9,9340137
206,10,9498838
373,17,13848364
376,18,13978430
575,25,18056231
578,26,18219661
622,32,22656282
622,32,22782731
683,37,25197379
686,38,25513609
730,44,28480694
730,44,28597946
792,51,30031233
792,51,30112778
916,58,30763782
919,59,30852490
1065,66,33925376
1065,66,34056093
1144,72,36626005
1144,72,36698933
1196,80,40293528
1196,80,40359774
1237,86,40861555
1240,87,40932259
1331,93,42101966
1334,94,42647270
1404,99,44786356
1407,100,45457939
1448,105,45946986
1451,106,46120695
1540,113,49178883
1540,113,49261920
1603,118,52549032
1606,119,53049200
1650,125,54102948
1653,126,54214740
1734,131,55385208
1737,132,56012067
1805,138,57857035
1808,139,58222958
1950,145,61384301
1953,146,61553442
2101,153,62745602
2104,154,63061090
2191,160,67473936
2194,161,67745641
2198,162,70464526
