instructions_covered,branches_covered,time_taken_nanos
811,42,9720478
812,43,9825507
815,44,10378084
826,46,10836954
827,47,12420346
880,53,12542307
883,54,12703192
930,60,15941872
933,61,16083761
1074,69,20169336
1077,70,20840949
1126,76,21180974
1126,76,21761655
1378,89,22959536
1381,90,23032304
1381,90,23114219
1381,90,23247312
1384,91,23691423
1384,91,24129544
1384,91,24940491
1676,105,25245399
1679,106,25421794
1680,107,25600532
1691,109,25965835
1692,110,27406626
1796,120,31091542
1799,121,31781630
2001,130,34736943
2004,131,35012245
2093,138,36032950
2096,139,36120977
2231,146,37499801
2234,147,37614849
2300,154,38418222
2300,154,38490880
2356,158,38995837
2359,159,39099654
2448,167,41528899
2451,168,42040168
2495,174,44714148
2498,175,44839205
2938,186,46631312
2941,187,47461967
3066,196,48966239
3151,203,49179954
3154,204,49284783
3217,210,50850821
3220,211,51000916
3393,225,54005372
3396,226,54112875
3402,228,54352209
3463,234,56574703
3466,235,56680263
3527,241,59948719
3527,241,60149149
3670,248,62253989
3673,249,62401790
3682,251,62958956
3830,258,67165510
3833,259,67606436
3842,261,68180424
3906,270,73288979
3906,270,73446768
4179,279,76756503
4179,279,76917378
4371,287,83038923
4374,288,83333752
4436,296,88160061
4436,296,88363727
4631,305,92142240
4631,305,92230788
4803,317,97005811
4806,318,97160224
4902,324,97685990
4905,325,97821167
5087,333,102427790
5090,334,102544130
5175,340,104529724
5178,341,104826096
5213,345,105085237
5216,346,105242566
5307,353,106207164
5310,354,106312163
5438,363,107357114
5445,365,107543177
5448,366,107723639
5584,373,111002305
5587,374,111353751
5648,381,112064378
5651,382,112409713
5793,390,113260816
5796,391,113689639
5987,403,115305743
5990,404,116244433
6075,410,118136700
6078,411,118253231
6163,417,118657638
6166,418,118903293
6494,427,121579357
6497,428,122709389
6501,429,123210409
6501,429,161076935
6501,429,169962771
6509,431,198612033
6512,432,228330032
6518,434,228561531
6518,434,394053275
6518,434,398406037
6518,434,399724977
6518,434,1427980565
6518,434,1429331446
6518,434,1656859898
6518,434,1986436581
