instructions_covered,branches_covered,time_taken_nanos
315,18,10468365
318,19,10608361
318,19,10705675
381,24,15164909
384,25,15270910
461,31,17515585
464,32,17754979
583,44,18488450
586,45,18882667
820,50,23157180
823,51,24198695
870,60,25935307
873,61,26032672
948,70,26447097
951,71,26612050
994,78,29299755
997,79,29469276
1055,86,31387834
1058,87,31502832
1124,93,35302164
1127,94,35753450
1218,101,39169466
1221,102,39356731
1357,110,43307410
1357,110,43426666
1451,120,46353635
1454,121,46436863
1520,127,49745636
1523,128,50129143
1578,135,53219351
1578,135,53291117
1603,138,53376950
1774,150,55468966
1777,151,55579876
1777,151,55714431
1777,151,55807317
1829,156,57326347
1832,157,57413953
1898,163,59038483
1901,164,59690048
2081,169,63576857
2084,170,63845195
2190,182,67245702
2190,182,67340161
2263,189,68749042
2266,190,68927981
2348,197,69803912
2348,197,69924500
2416,203,73114057
2419,204,73242761
2467,211,77112457
2467,212,77230641
2467,212,158344614
2467,212,163707300
2483,216,170758598
2708,232,257687274
2731,233,260069571
2734,234,260300639
2750,238,285005764
2772,241,413860772
3027,253,417921150
3077,258,2064081402
3077,258,2099868616
3077,258,2100412968
3077,258,2100868803
3080,259,2101041741
3080,259,3964091533
