instructions_covered,branches_covered,time_taken_nanos
376,23,9083611
376,23,9174653
379,24,9871174
384,26,10024414
480,34,12999925
845,49,13310353
848,50,13492078
848,50,13599010
894,57,16565525
894,57,16669441
954,63,20154518
957,64,20254057
1004,72,21406642
1004,72,21503566
1108,80,22421907
1111,81,22593703
1272,89,22797539
1272,89,22994172
1705,125,23342101
1784,134,24059942
1787,135,24406399
1852,142,25552061
1852,142,25647111
1858,145,29816835
1861,146,30366207
1864,147,137709254
1864,147,160167509
1864,147,187631214
1864,147,465854489
