instructions_covered,branches_covered,time_taken_nanos
474,30,10120646
564,39,10458136
564,39,10552155
935,55,10708912
938,56,10890726
981,63,13435401
984,64,13630831
1303,81,14357499
1303,81,14456316
1306,82,14816920
1306,82,15537075
1346,88,19147599
1349,89,19261395
1387,94,21672596
1390,95,21792824
1489,107,23556027
1489,107,23740477
1519,110,23964141
1578,115,29194366
1581,116,29294596
1836,127,32975634
1839,128,33260203
1901,134,39044639
1904,135,39153566
2097,140,41078966
2100,141,41788200
2104,142,45985708
2104,143,49723784
2104,143,65813877
2105,144,108470674
