instructions_covered,branches_covered,time_taken_nanos
308,23,9701472
401,31,9851055
766,46,9995218
769,47,10090589
769,47,10167275
811,53,11856327
814,54,12059733
876,60,12638329
879,61,13002540
950,66,16046791
953,67,16185113
994,74,19219326
994,74,19283367
1113,79,21877485
1116,80,22066773
1156,87,23539656
1159,88,23707854
1215,93,24395899
1218,94,24503623
1482,109,27786436
1485,110,27922815
1485,110,28030339
1488,111,28592855
2040,161,29076212
2152,173,29197151
2152,173,29324943
2155,174,29845590
2295,184,30035701
2295,184,30139928
2374,192,31091041
2374,192,31238721
2377,193,31375781
2473,204,32363543
2476,205,32438846
2544,211,32890192
2547,212,32968049
2551,214,35121311
2551,214,35296964
2551,214,35393497
2551,214,35480432
2551,214,35602353
2553,215,36377142
2553,215,36566962
2593,216,36836473
2596,217,37173071
2639,218,48224792
2656,220,48576409
2686,222,54451196
2803,233,55896035
2880,237,61764981
3127,255,65106746
3130,256,66141678
3130,256,67270198
3207,260,70040760
3210,261,70355787
3213,262,82114499
3213,262,82279552
3213,262,82559572
3225,264,87134696
3225,264,87474470
3225,264,89807082
3528,276,101323214
3545,279,107886406
3617,286,112318378
3617,286,113977513
3617,286,127963487
3622,288,133333407
3622,289,151649359
3622,289,166880925
3625,290,168667792
3646,292,172685238
3646,292,173334639
3646,292,175577491
3646,292,175857712
3649,293,177537627
3652,294,209771254
3655,295,224923378
3667,299,264392622
3698,302,278251956
3698,302,285162386
3698,302,306585529
3698,302,384216428
3699,303,457083746
3699,303,468727891
3702,304,486149418
3705,305,500963621
3705,305,572862323
3705,305,605690777
3765,310,783786132
3765,310,912530458
3765,310,926347862
3777,312,926472589
3777,312,1043306928
3849,319,1117029457
3849,319,1194623215
3849,319,1196320523
3849,319,1201109401
3849,319,1233140064
3849,319,1302854545
3849,319,1480404885
3849,319,1486134277
3849,319,1497940017
3870,321,1675613311
3870,321,2364294307
3870,321,2670380709
3870,321,3267686560
3870,321,3640804077
3891,323,5199274252
3912,325,5215016636
3912,325,5404111142
3933,327,5441786695
3954,329,7867283202
3954,329,8415135410
3954,329,8615419618
3954,329,9937571142
