instructions_covered,branches_covered,time_taken_nanos
423,26,9421260
480,31,9568860
483,32,9843480
573,39,11149296
576,40,11409159
652,46,12881179
655,47,13335971
692,52,13695643
695,53,13773842
759,59,15761890
759,59,15842283
841,65,16127493
841,65,16253893
1140,78,16814596
1140,78,16929825
1143,79,18163253
1190,85,18832452
1193,86,18959302
1263,91,20659575
1266,92,21151638
1338,100,23818864
1338,100,23922090
1389,105,24580759
1392,106,24956681
1646,117,26070843
1649,118,26300569
1650,119,27067092
1724,127,30697334
1727,128,30847679
1729,129,33189328
1729,129,34701104
1732,130,34996734
1732,130,57910674
1732,130,58490763
