instructions_covered,branches_covered,time_taken_nanos
340,24,8539358
343,25,8620442
343,25,8695625
455,40,11716782
458,41,12353119
523,48,15277502
526,49,15449188
627,60,15668303
630,61,15947463
706,76,16123777
712,79,16196174
712,79,16296083
800,89,19157779
803,90,19714594
846,96,23290573
846,96,23429206
933,107,25565756
936,108,26004288
1020,115,27040091
1023,116,27496386
1083,123,29851922
1086,124,29985565
1149,129,32544716
1152,130,32686074
1198,136,35325869
1201,137,35478618
1332,156,36679826
1332,156,36747344
1335,157,37110733
1433,167,39042004
1436,168,39121475
1504,174,42534244
1507,175,43083896
1592,182,44515630
1595,183,44620940
1666,190,46763772
1666,190,46851268
1800,196,48363705
1803,197,48599222
1838,202,51339456
1899,207,51503948
1899,207,51633223
1899,207,52024144
1938,214,141872013
1938,214,144896066
1946,216,147554496
1946,216,148062689
1946,216,149991506
1946,216,152890892
1946,216,154703388
1946,216,283929347
1946,216,301474779
1946,216,432097666
1946,216,443285565
1946,216,451158140
1946,216,1433078888
1946,216,1436760417
1946,216,1891832096
1946,216,2042903288
1946,216,2209621442
2413,257,2389990866
2606,266,2499797661
2677,268,2500477099
2677,268,2571544094
2677,268,2573909017
2680,269,2575907195
2680,269,2578499851
2680,269,2580989139
2680,269,2581479188
2680,269,2582885174
2680,269,2582988479
2680,269,2587674103
2680,269,2599134128
2680,269,2600794826
2680,269,2604375624
2680,269,2606293560
2680,269,2608988910
2680,269,2611211423
2680,269,2612354540
2680,269,2616367608
2680,269,2617604813
2680,269,2619082535
2680,269,2624902618
2680,269,2786903850
2680,269,2802362746
2680,269,2808326011
2680,269,2811226800
2680,269,2815757940
2680,269,2825430517
2680,269,2841182889
2680,269,2848554063
2680,269,2849682463
2680,269,2853853359
2680,269,3048406742
2680,269,3061827234
2728,280,3081387746
2728,280,3088831587
2728,280,3089181351
2728,280,3284463755
2728,280,3285412223
2728,280,3316205409
2728,280,3321796869
2728,280,3880900805
2728,280,3887685748
2728,280,3939102110
2728,280,4215786662
2728,280,4681817226
2728,280,4729909857
2761,285,4962344052
2761,285,5802987824
2761,286,6822675357
2761,286,6826763557
2761,286,7760425327
