instructions_covered,branches_covered,time_taken_nanos
173,10,8978190
173,10,9063452
176,11,9147862
344,23,9370624
394,26,9478168
394,26,9574430
397,27,9705749
471,42,10600135
567,45,12328551
583,47,12450312
586,48,12847906
670,56,13622304
670,56,13704700
670,56,13904790
763,62,14132662
763,62,14217362
779,64,14761313
856,70,15419181
859,71,15828957
954,75,16107836
970,77,16331580
970,77,16532611
1010,79,16942248
1013,80,17968654
1144,86,18861256
1144,86,18965553
1147,87,19323302
1147,87,19410617
1225,91,20308629
1242,93,20758923
1328,96,20984400
1331,97,21191012
1398,101,21600759
1488,104,21756244
1488,104,21896870
1491,105,22340481
1560,111,23025049
1563,112,23325709
1596,115,25512876
1596,115,25650136
1621,116,25773349
1725,120,25920098
1729,121,26113554
1729,121,26428371
1751,123,26602521
1767,125,26710586
1767,125,26871742
1784,127,27386838
1787,128,27812745
1977,144,28126300
1995,145,28519996
1995,146,28775120
2035,149,29118000
2035,149,29262884
2038,150,29761460
2135,153,30098579
2151,155,30208607
2151,155,30369182
2154,156,31089176
2336,163,31545121
2336,163,31722437
2340,164,31997348
2343,165,32398008
2355,166,32744996
2392,169,33518432
2399,170,33627078
2410,172,33715035
2410,172,34058426
2498,175,35712351
2498,175,35846185
2514,177,35957566
2514,177,36357584
2517,178,37322273
2576,183,37560785
2576,183,37777847
2576,183,37865002
2593,185,40722379
2671,192,40955210
2691,194,41179625
2691,194,41475697
2724,197,42021611
2724,198,42341077
2724,198,42651085
2727,199,42785570
2791,202,44123697
2794,203,44237222
2801,204,47599025
2843,208,55086740
2896,210,61247739
2912,212,63264933
2915,213,65515420
2979,216,92753917
2982,217,109853924
3019,220,112436160
3022,221,117955923
3039,223,172632266
3076,226,178932529
3153,229,190457567
3233,232,199289029
3236,233,209248470
3348,236,239358010
3348,236,240234031
3348,236,240635432
3351,237,241507665
3397,239,243127897
3445,242,257001457
3528,247,265963367
3561,250,268131287
3641,258,269550958
3713,262,269827292
3777,265,276120642
3780,266,276487337
3832,268,278024832
3835,269,278181730
3881,271,308927265
3994,278,411794865
3997,279,437185219
3998,280,476362940
4015,282,513980503
4034,284,514520496
4037,286,514675300
4093,290,518897283
4158,293,524303673
4158,293,529116316
4174,295,530810658
4179,297,551423635
4182,298,846830840
4237,301,1163296967
4254,303,1184109252
4314,307,1240140112
4398,313,1291818521
4492,316,1576519720
4497,318,1581686735
4501,319,1585633136
4504,320,1586292556
4507,321,1588364594
4583,325,1616941769
4590,326,1626681904
4593,327,1875286273
4615,329,1884296884
4686,331,1891549884
4690,332,1899507851
4702,333,1904011478
4753,335,1907204902
4799,337,1921018509
4906,341,1937342545
4909,342,1946121377
4912,343,2052067343
4983,347,2251400467
4986,348,2252409430
5003,350,2253796038
5066,353,2263540702
5069,354,2264009891
5069,354,2594961058
5242,369,2607067729
5245,370,2609414778
5303,375,2614172959
5303,375,2619538430
5354,378,2632547593
5407,381,3396221328
5496,384,3459335596
5512,386,3486879582
5529,388,3764326920
5598,392,3784367742
5598,392,4124547824
5656,395,4126930521
5659,396,4144011713
5670,398,4485991317
5677,399,5307343104
5694,401,6126311694
5758,404,6133467990
5775,406,6165507829
5846,408,6438034508
5862,410,6438204120
5867,411,6449381559
5879,413,6495463809
5983,417,6530301372
5986,418,6832152703
5989,419,6832979009
6070,423,7444474454
6073,424,7724479650
6175,428,7726542340
6178,429,7733933322
6181,430,7740112736
6198,432,8125929874
6267,436,8127202477
6267,436,8147931443
6274,437,9172697259
6274,437,9877508225
6281,438,9980718775
