instructions_covered,branches_covered,time_taken_nanos
707,33,8351152
867,43,8511456
867,43,8609452
939,49,12446616
1280,63,12562255
1283,64,12655872
1286,65,12877162
1385,74,15949055
1388,75,16038144
1424,80,18903206
1705,92,19441045
1705,92,19526187
1708,93,19694406
1752,99,21605819
1755,100,21677084
1812,107,24011770
1815,108,24098164
1815,108,24408823
1852,113,29124853
1855,114,29260491
2049,122,29664466
2052,123,30081918
2125,130,34115755
2128,131,34247284
2315,140,34516224
2318,141,34615752
2559,153,35393978
2559,153,35521740
2622,159,36592730
2625,160,36710654
2686,165,39607366
2689,166,39901523
2690,167,42109118
2693,168,45466813
2696,169,69338548
2731,172,118389917
2731,172,133336551
2731,172,193021939
2731,172,197016441
2732,173,294227238
