instructions_covered,branches_covered,time_taken_nanos
413,28,9240788
415,29,9676334
495,35,12781921
496,36,12932958
579,44,16385823
582,45,16539695
582,45,17018793
882,58,19318543
882,58,19512040
885,59,19811898
989,71,23448172
992,72,23794969
1305,81,25188681
1305,81,25287428
1340,84,25532022
1373,86,25916581
1473,93,29559758
1473,93,29844488
1476,94,30172680
1479,95,30490192
1728,104,31375780
1728,104,31647125
1731,105,32041242
1805,111,33174120
1808,112,33319705
1808,112,33578326
1871,117,33880469
1871,117,33991880
1874,118,34312117
1878,119,34842302
2159,133,40492043
2160,134,82299688
2163,135,82865982
2163,135,128588139
2163,135,205259908
2164,136,452722731
2187,139,1213700860
2355,148,1293411339
