instructions_covered,branches_covered,time_taken_nanos
437,33,9454523
440,34,9580422
482,41,13517215
482,41,13653343
588,46,13834667
627,47,14218294
690,55,15128289
690,55,15218109
703,57,15467292
733,59,15611054
857,67,15726543
1025,77,17320455
1028,78,17422939
1028,78,17548287
1073,84,19974847
1076,85,20189013
1127,93,22331434
1127,93,22443597
1166,98,24619742
1169,99,24876028
1452,113,27051562
1455,114,27167492
1455,114,27393400
1511,123,30915056
1512,125,31016519
1512,125,31108803
1572,130,32682537
1575,131,32796924
1605,133,32913064
1666,138,33271483
1711,144,36329561
1711,144,36412829
1770,152,38324102
1773,153,38439922
1837,159,41359907
1840,160,41452322
1842,162,43532906
1845,163,53979821
