instructions_covered,branches_covered,time_taken_nanos
355,19,8217297
358,20,8670005
459,28,11600531
462,29,11685933
492,31,12065412
838,46,12453137
889,54,14085662
892,55,14219476
962,60,14679678
965,61,14834903
1159,76,15904059
1159,76,16085343
1162,77,16559592
1473,93,18733082
1476,94,18947839
1476,94,19174599
1519,100,21328933
1522,101,21495168
1710,112,24063848
1713,113,24160611
1716,114,24238158
1758,119,27657330
1761,120,27809419
1802,125,28841966
1805,126,28911548
1924,137,30142251
2092,146,30235127
2092,146,30492615
2095,147,30620938
2356,159,34944735
2356,159,35045576
2359,160,35115298
2360,161,37337942
2428,167,38755259
2431,168,38876479
2434,169,40316699
2434,169,66667483
2434,169,70307253
2434,169,196198988
