instructions_covered,branches_covered,time_taken_nanos
219,17,9171136
219,17,9321170
337,28,9558420
337,28,9656055
346,31,9846075
385,37,13866337
388,38,13962088
457,43,15753955
460,44,15852793
545,54,18755736
548,55,18856336
548,55,19722458
624,61,23214177
627,62,23428333
673,68,24249159
676,69,24329261
788,78,25659483
791,79,26060142
1151,113,28487254
1154,114,28581272
1157,115,28683256
1157,115,28988554
1360,130,29204925
1394,137,30142642
1440,140,30605129
1501,145,32740507
1501,145,32857409
1593,149,36205966
1596,150,36988760
1596,151,39583178
1599,152,42623032
1599,153,165330891
