instructions_covered,branches_covered,time_taken_nanos
300,14,9183249
380,21,9478659
438,25,9581093
809,41,9732581
812,42,9909997
1018,59,12390850
1021,60,12667474
1093,65,13228207
1096,66,13410863
1381,80,16568049
1384,81,16685922
1384,81,16768509
1460,90,18545027
1463,91,18900200
1778,110,20473843
1781,111,20556660
1784,112,20642052
1787,113,20801304
1854,119,24291370
1857,120,24589415
2083,128,26743087
2086,129,26876460
2164,135,31494896
2164,135,31565209
2226,141,33979797
2229,142,34195806
2398,156,37741467
2401,157,40153239
2401,157,57281239
2401,157,57896335
2401,157,99196048
2402,158,1116209227
2402,158,1210863114
