instructions_covered,branches_covered,time_taken_nanos
530,32,9351447
530,32,9459702
531,33,9568058
601,40,9724565
602,41,9986852
664,48,12564749
667,49,12802440
739,57,14485661
739,57,14574850
784,64,15018130
784,64,15098623
1048,70,16782184
1048,70,16901370
1110,75,23095232
1113,76,23200591
1173,82,26437367
1176,83,26555722
1236,89,28083969
1239,90,28497643
1412,95,29363985
1415,96,29518919
1513,102,33551314
1516,103,34551600
1793,113,36776037
1793,113,36893790
1831,117,37022133
2142,126,40747675
2145,127,40884264
2180,130,41009321
2180,130,41231483
2213,132,42602602
2366,139,44405450
2366,139,44621409
2369,140,44999616
2432,145,48269655
2432,145,48402878
2435,146,49313294
2444,148,51146469
2449,149,614645100
