instructions_covered,branches_covered,time_taken_nanos
477,32,8602097
537,37,8727354
540,38,8873672
609,45,10497059
611,46,10587350
641,48,10703511
961,62,11129558
1023,68,14252188
1026,69,14423463
1091,75,15086871
1094,76,15263996
1174,84,19041768
1177,85,19259981
1226,93,21820666
1226,93,21889947
1267,99,24251183
1270,100,24324542
1330,105,26170471
1333,106,26416097
1439,114,29427937
1442,115,29516194
1603,123,29749216
1603,123,29938745
2133,164,30524376
2264,186,30688998
2267,187,30822391
2291,193,31079007
2303,195,31209965
2303,195,31681199
2315,198,31920733
2330,201,33451935
2330,201,33638238
2410,211,34650998
2413,212,34826110
2481,219,38575758
2484,220,38933977
2569,226,42132631
2569,226,42226218
2570,229,45618039
2570,229,45800655
2570,229,46518466
2570,229,47492512
2585,232,48396265
2625,233,49808743
2627,234,49908402
2630,235,58018326
2630,235,103194978
2630,235,104710200
2630,235,104974651
2630,235,107201132
2630,238,107541417
2635,239,150129722
2640,240,157685035
2681,246,193673940
2681,246,197310974
2681,248,201829410
2681,248,206220764
2686,250,212346057
2686,250,243980707
2686,250,257674496
2686,250,396999145
2686,250,397819690
2701,253,580296884
2701,253,1767709564
