instructions_covered,branches_covered,time_taken_nanos
282,16,9594970
285,17,9984138
391,26,13922754
391,26,14017313
764,42,14241088
767,43,14340777
828,48,16927660
831,49,17064770
1024,55,18512755
1027,56,19194037
1066,62,20399101
1069,63,20553965
1166,69,23598636
1169,70,23887624
1445,84,27143507
1487,87,27254097
1490,88,28077297
1536,95,32682437
1536,95,32754183
1580,101,33772143
1580,101,33851293
1873,120,35839211
1876,121,35947246
1879,122,36031305
1879,122,36120725
2137,133,38217339
2137,133,38329832
2140,134,39134879
2141,135,42888865
2294,143,43740189
2297,144,44071908
2360,149,44813384
2363,150,44959150
2367,151,47989354
2367,151,78722786
2367,151,199516856
