instructions_covered,branches_covered,time_taken_nanos
461,38,9427070
462,39,9510228
571,49,12644460
574,50,12745682
666,59,15630020
776,64,15730690
1281,88,15984181
1482,99,22834627
1485,100,23577936
1549,107,24421385
1552,108,24605835
1592,113,26829460
1776,118,28099618
1779,119,28911266
1828,128,37007605
1828,128,37104248
1949,134,39882545
1952,135,40371071
2170,154,43959343
2173,155,44070905
2221,158,44294909
2620,178,47330734
2901,195,47554458
2938,199,48077360
2941,200,48858451
2941,200,49206460
2944,201,49842236
3265,226,52641753
3417,232,55767067
3420,233,55971795
3493,239,57401375
3496,240,57717004
3696,248,58376264
3699,249,58604747
3765,255,62912152
3826,261,63083216
3829,262,63599505
3919,267,65548811
3922,268,66004535
3991,277,67598877
3994,278,68035405
4057,283,72372917
4060,284,72538501
4067,287,74395311
4096,289,81024528
4096,289,159478564
4096,290,174059785
4274,298,228163440
4274,298,231516997
4274,298,234638134
4350,302,295596413
4350,302,321185372
4487,309,343804161
4487,309,375284107
4487,309,401254119
4487,310,444458531
4487,310,468622950
4487,310,475064462
4587,323,478441032
4587,323,482503103
4587,323,483709440
4610,325,484774268
4610,325,507372709
4610,325,514452129
4610,325,514757097
4610,325,522245924
4772,335,597828276
4772,335,798738732
4772,335,813996396
4874,342,834186420
4874,342,855051124
4874,342,874459236
4874,342,959585410
4874,342,1102193313
4874,342,1132711196
4874,342,1133287729
4874,342,1139537065
4874,342,1150478016
4874,342,1185494277
4874,342,1241269991
4874,342,1266121492
4874,342,1333391797
4874,342,1451762302
4874,342,1495852284
4874,342,1500885055
4874,342,1511882102
4874,342,1556779103
4874,342,1583906769
4874,342,1596505152
4874,342,1644410627
4874,342,1669788014
4874,342,1675697577
4874,342,1714551242
4874,342,1725610016
4874,342,1726942082
4874,342,1730761192
4874,342,1734582125
4874,342,1755741457
4874,342,1759201005
4874,342,1778180695
4874,342,1784608981
4874,342,1805061403
4874,342,1835934209
4874,342,1863614442
4874,342,1870837365
4874,342,1872754559
4874,342,1875831462
4874,342,1879722247
4874,342,1897527481
4874,342,2143540309
4874,342,2144532971
4874,342,2161227859
4874,342,2195848520
4874,342,2198440884
4874,342,2228217281
4874,342,2317739759
4874,342,2323613896
4874,342,2378047996
4874,342,2407941816
4874,342,2505227801
4874,342,2548479013
4874,342,2615948485
4874,342,2680747114
4874,342,2690212628
4874,342,2994649641
4874,342,3042851447
4874,342,3047816900
4874,342,3053039911
4874,342,3069987088
4874,342,3144876206
4874,342,3230759215
4874,342,3231334185
4874,342,3487212744
4874,342,3557596281
4874,342,3684946269
4874,342,3879761951
4874,342,3914101559
4874,342,3916707880
4874,342,3955341618
4874,342,3962326670
4874,342,3968232816
4874,342,4155100662
4874,342,4370492612
4874,342,4397707192
4874,342,4414112442
4874,342,4479375261
4874,342,4659652884
4874,342,5261688335
4874,342,5395910280
4874,342,5434693552
4874,342,5517232130
4874,342,5738881131
4874,342,5808605397
4874,342,6052871063
4874,342,6122537279
4874,342,6136790229
4874,342,6326590113
4874,342,6541578648
4874,342,6760044655
4874,342,6762997763
4874,342,6823573997
4874,342,6851211680
4874,342,6936494711
4874,342,6999079073
4874,342,7027132284
4874,342,7040313200
4874,342,7133758735
4874,342,7207948207
4874,342,7263821195
4874,342,7276112727
4874,342,7513861658
4874,342,8026707241
4874,342,8044738443
4874,342,8119860903
4874,342,8778233702
4874,342,9202267454
4874,342,9484510543
4874,342,9918356697
4874,342,9993810214
