instructions_covered,branches_covered,time_taken_nanos
434,30,8793179
460,37,9048393
460,37,9118466
502,42,11965954
504,43,12252558
523,46,12983583
582,52,14346537
582,52,15614851
663,59,16284301
666,60,16574030
806,74,19477083
809,75,19567374
809,75,19687291
851,82,21476623
854,83,21565372
944,91,21816087
947,92,22021476
1004,97,24721515
1007,98,24811976
1042,104,24912978
1177,113,27438084
1180,115,27821952
1298,120,29264226
1301,121,29723717
1665,136,33628330
1665,136,33737427
1668,137,34335641
1668,138,35338421
1684,140,36473473
1700,145,36954255
1756,149,39292918
1759,150,39537291
1759,151,42205920
1762,152,43347033
1769,153,43533426
1949,164,51100802
1949,164,75075331
1987,166,100101793
