instructions_covered,branches_covered,time_taken_nanos
346,27,8482840
386,28,8579744
389,29,9170163
394,31,9268980
511,36,10613139
514,37,10833036
585,43,13871676
585,43,14011742
699,53,18264534
708,54,18413456
711,55,18685151
758,57,18787736
864,64,19601919
864,64,19753456
929,69,20819687
932,70,20934866
969,75,24241364
972,76,24329120
1050,82,25908414
1053,83,26365541
1094,88,29154968
1097,89,29492097
1145,96,30164783
1148,97,30448080
1191,104,31918507
1194,105,32136320
1275,112,34673290
1278,113,34830127
1377,121,39294580
1704,137,39474251
1707,138,39722872
1878,143,40404034
1881,144,40754778
1924,151,44102224
1924,151,44187385
1995,157,44954670
1998,158,46053934
2069,167,48903936
2075,168,48997183
2215,179,51245315
2215,179,51383487
2278,184,53471836
2281,185,53617572
2285,187,56547516
2591,203,80380035
2594,204,125450776
2597,205,168198453
2597,205,377206458
2639,207,398384135
2639,207,527566395
2639,207,1260087512
