instructions_covered,branches_covered,time_taken_nanos
1309,115,8560538
1309,115,8641732
1486,125,8773973
1487,126,8915501
1490,127,11339676
1610,138,12557876
1610,138,12636986
1799,152,13910109
1899,158,17597239
1899,158,17693752
1900,159,17838206
1985,169,18253543
1985,169,18441660
2159,183,18708516
2198,187,19147628
2262,195,23452379
2262,195,23601812
2264,196,23797623
2561,209,24080519
2625,219,28246457
2655,223,28368678
2658,224,28539472
2658,225,28673586
2981,246,29216095
2984,247,29455849
2987,248,29773862
3048,255,34496384
3051,256,34661668
3063,258,34981314
3063,258,35124896
3129,266,39847719
3129,266,40017901
3385,280,43285445
3385,280,43418818
3427,283,43599801
3507,289,45291789
3510,290,45592209
3604,299,48774922
3607,300,48929315
3607,300,49066475
3721,308,49308534
3724,309,49589927
3865,321,52477010
3865,321,52585636
3868,322,52693451
4127,338,55205042
4130,339,55500612
4182,347,60040749
4182,347,60200892
4268,353,60519947
4526,370,64691886
4529,371,64967107
4592,377,67221641
4622,379,67433613
4622,379,67613254
4782,387,67760553
4889,397,70572293
4892,398,70774677
4962,408,75000288
5169,420,75153789
5169,420,75320274
5169,420,75982840
5402,431,79620336
5402,431,79777393
5455,440,82850178
5458,441,82978662
5547,447,83760664
5550,448,83931799
5607,451,84159160
5610,452,84446905
5622,454,85708176
5839,465,87394132
5893,470,88159533
5896,471,88595961
5908,473,89435091
6007,481,93768456
6010,482,94122357
6012,483,96677390
6015,484,157113699
6015,484,157419459
6227,493,191969275
6227,493,221023262
6227,493,221438469
6408,503,224172632
6411,504,409854628
6423,506,432253389
6423,506,567412369
6423,506,791313667
6423,506,791484561
6423,506,792037870
6423,506,795819739
6523,513,804810342
6681,518,862556842
6864,523,1236171951
6964,530,1340677211
6964,530,1577136585
6979,532,1606868978
6979,532,1882674300
7162,537,2703067803
7181,541,2780900449
7341,553,3065275537
7341,553,3069174689
7341,553,3129049934
7341,553,3932293806
7341,553,4265642272
7342,554,4810457162
