instructions_covered,branches_covered,time_taken_nanos
449,26,8226575
686,38,8401186
686,38,8600564
686,39,8722946
762,42,8862110
950,53,10572362
953,54,11037844
953,54,11141421
1040,62,12788483
1043,63,12886188
1343,75,14247439
1346,76,14375742
1346,76,14643840
1641,90,17897869
1641,90,18135689
1644,91,18766155
1701,98,21804955
1704,99,22042305
1765,108,23392404
1768,109,23585550
1843,115,26529822
1846,116,26620233
1849,117,26705745
2152,131,28893493
2155,132,28994163
2171,134,29092380
2183,141,29419971
2224,144,30329044
2258,151,33272073
2261,152,33461783
2412,158,35594486
2553,161,35715756
2553,161,35864949
2607,167,37562908
2610,168,38030113
2733,173,41289853
2736,174,41471257
2736,175,42151877
2736,176,44310338
2736,176,49463617
2736,176,150654544
2736,176,151116770
