instructions_covered,branches_covered,time_taken_nanos
573,36,8526233
576,37,8982438
848,53,11954983
848,53,12040796
851,54,12166173
927,57,12363728
971,63,16128725
974,64,16352028
1036,69,18031372
1039,70,19019796
1101,75,20124961
1104,76,20201476
1167,82,22720371
1170,83,22935398
1238,88,24338328
1241,89,24417919
1317,96,26348739
1320,97,26555912
1358,102,30274912
1361,103,30345145
1487,109,33300327
1490,110,33542637
1566,118,38125815
1569,119,38290557
1572,120,38588472
1636,127,38834248
1639,128,39001455
1714,136,42769618
1717,137,42960009
1719,138,45175719
