instructions_covered,branches_covered,time_taken_nanos
368,22,9151869
408,23,9258541
408,24,9342851
504,32,9478448
504,32,9590039
534,34,9674780
974,51,9818192
1020,58,12509003
1020,58,12597531
1130,64,13577408
1133,65,13712023
1242,71,16548580
1245,72,16790128
1313,77,17175659
1316,78,17505625
1360,85,18557869
1360,85,18669150
1472,90,20920358
1475,91,21104146
1645,96,25454263
1648,97,25777485
1755,105,27284813
1755,105,27414809
1984,115,27582507
1987,116,27844434
2379,149,30531067
2382,150,30791029
2463,161,32965061
2463,161,33087413
2537,166,35664629
2540,167,35749299
2607,173,38949947
2610,174,39061268
2730,179,40894773
2733,180,41491865
2734,183,46059414
2739,185,51287795
