instructions_covered,branches_covered,time_taken_nanos
269,12,8125283
272,13,8676899
375,21,11379512
375,21,11458191
712,35,11594740
715,36,11806361
780,43,12816115
783,44,13805331
1064,56,14508834
1064,56,14642167
1067,57,15125072
1247,65,16556766
1250,66,17372904
1324,74,18042523
1354,76,18225770
1514,84,18385964
1514,84,18469562
1591,90,22533086
1594,91,22815351
1818,99,24134191
1821,100,24228279
1821,100,24323730
1887,107,24589003
1887,107,24671079
2065,121,25924665
2201,129,26158058
2201,129,50195054
2201,129,64400563
2206,131,96514190
2206,131,97899346
2209,132,249585716
2210,133,393734526
2210,133,536263896
