instructions_covered,branches_covered,time_taken_nanos
386,23,8730901
389,24,8905562
502,36,10461081
502,36,10558255
669,49,12421537
672,50,12737787
763,62,12914101
763,62,13022907
827,69,14011010
830,70,14145174
939,81,16353280
942,82,16446016
1089,105,18064184
1155,112,18454143
1155,112,18607964
1226,120,22674273
1226,120,22818447
1341,132,23143423
1344,133,23265304
1429,139,23956364
1432,140,24110436
1520,151,27103660
1523,152,27188441
1629,160,27835728
1632,161,28545754
1732,170,31496197
1735,171,32111032
1843,181,36517696
1846,182,36649816
1966,195,37779618
1969,196,38678943
2061,203,39161107
2064,204,39332292
2160,210,40178576
2163,211,40277984
2253,218,40849858
2256,219,41504940
2260,220,45751560
2263,221,73325602
2263,221,150639013
