instructions_covered,branches_covered,time_taken_nanos
508,34,9070846
593,42,9204980
956,57,9332061
959,58,9418174
959,58,9497655
993,64,11039007
993,65,11227624
1054,71,11780843
1057,72,12114896
1166,77,14348390
1169,78,14789837
1279,84,17894793
1282,85,17967721
1327,92,20587167
1327,92,20780483
1442,98,23213806
1442,98,23335026
1611,103,27518426
1614,104,28193295
1723,112,28373216
1884,120,28531627
1884,120,28657165
1887,121,28894795
2319,157,30483387
2400,167,31074036
2400,167,31158416
2469,174,32633092
2469,174,32767306
2587,179,36586466
2590,180,36912444
2591,183,40119764
2594,184,40776990
2597,185,42811066
2637,186,42982080
2642,188,43451269
2642,188,190694095
2642,188,380381821
2645,189,646823249
2645,189,1341435620
