instructions_covered,branches_covered,time_taken_nanos
926,64,8739367
928,65,8889432
1072,81,11063984
1074,82,11159936
1074,82,11267099
1136,89,12650371
1136,89,12749780
1187,99,15059678
1188,100,15134801
1233,105,18579180
1307,112,19523190
1309,113,19940000
1413,119,22953001
1413,120,23330517
1455,127,24643215
1455,127,24792128
1697,144,26287162
1697,144,26410686
1697,144,26579195
1753,149,26680337
1753,149,26805735
1756,150,26994312
1756,150,27326492
1756,150,27626320
1756,150,27728494
1756,150,28032971
1797,155,31481829
1800,156,31571469
2111,174,34565595
2138,176,34696082
2138,176,34883928
2141,177,35094367
2141,178,35477093
2548,202,35724071
2548,202,37515066
2641,213,39168851
2641,213,39258822
2775,218,40314162
2874,229,40477312
3053,239,40586208
3091,242,40752563
3094,243,40890725
3273,249,41438163
3276,250,42579366
3435,261,44016671
3565,270,44176394
3565,270,44384298
3571,272,44831746
3644,276,48612834
3647,277,48740947
3705,282,52738004
3708,283,52829898
3771,288,57576246
3774,289,57894059
3813,294,58190160
3816,295,58377265
3883,301,62017616
3886,302,62175034
3890,303,62422593
3893,304,85216383
3893,304,104759780
3893,304,121174949
3893,304,125621979
3999,310,139264130
4002,311,170954624
4002,311,705495671
4002,311,931151953
4002,311,3565452314
4002,311,3572531263
4002,311,9014564783
