instructions_covered,branches_covered,time_taken_nanos
493,37,8745869
493,37,8949234
496,38,9047381
589,45,9186324
619,47,9281855
622,48,9422842
960,62,9603795
1003,68,13845777
1006,69,13985902
1068,75,16215168
1071,76,16610337
1181,81,19420485
1184,82,19565510
1291,91,22661429
1291,91,22755397
1294,92,22860456
1294,92,23201102
1408,98,23930615
1411,99,24128169
1452,103,24802848
1687,123,27996743
1756,129,28459640
1759,130,28788404
1805,136,30996369
1808,137,31143859
1885,141,31589554
1888,142,34202627
1998,147,34638383
2001,148,34902223
2172,154,35326468
2172,154,35429563
2192,156,35651454
2298,164,39516731
2459,172,39631659
2459,172,39723884
2462,173,39864681
2606,187,41900390
2606,188,42005258
2609,189,42161204
2647,191,42276352
2650,192,42454029
2665,195,42762374
2738,204,44334564
2741,205,44700518
3044,217,46110481
3105,223,46401933
3108,224,46521199
3125,227,47052316
3146,229,48286496
3264,234,48723895
3374,247,49215847
3377,248,49411658
3379,251,49616767
3384,253,51780228
3387,254,59032867
3417,256,77334240
3500,263,83243342
3500,263,99766274
3500,263,100088205
3500,263,100307951
3500,263,101385404
3500,263,102200720
3503,264,102507752
3506,265,103818617
3506,265,104066086
3506,265,111084861
3506,265,112630391
3524,268,125182065
3589,272,125943819
3612,275,135658304
3612,275,136001605
3612,275,136109239
3729,287,136377467
3732,288,137185960
3735,289,170350869
3738,290,179872620
3741,291,186086720
3744,292,186396497
3744,292,187433804
3744,292,193577660
3744,292,195225765
3744,292,196678539
3744,292,203957868
3861,303,204579386
3861,303,207604390
3861,303,211460811
3861,303,213107973
3861,303,214164005
3864,304,227966991
3864,304,289459000
3864,304,296821016
3864,304,339139629
3864,304,339852450
3867,305,456589776
3907,306,481252458
3923,308,485411692
3941,312,496961978
3941,312,500413532
3941,312,506141770
3941,312,595297751
3941,312,621146812
3941,312,814435756
3941,312,819359309
3941,312,923289687
3962,314,1103217972
3962,314,1369312942
3962,314,1370897706
3962,314,2013687717
3983,316,2030598945
3983,316,3091336578
3983,316,4274189863
3983,316,4432050144
3983,316,6148426114
3983,316,6595474602
