instructions_covered,branches_covered,time_taken_nanos
196,9,8248115
199,10,8369535
384,18,8586306
387,19,8895763
436,26,12837435
436,26,12925963
558,33,13832541
558,33,13909668
599,38,18093078
602,39,18178690
726,46,19587180
729,47,19994823
889,54,23200821
892,55,23360042
968,60,27199851
971,61,27452731
1020,69,29868500
1020,69,29994098
1061,74,31685966
1064,75,31778281
1153,82,32101183
1153,82,32224066
1216,87,35665229
1219,88,35949848
1305,94,38840379
1308,95,39237001
1371,100,42319644
1374,101,42396069
1533,108,43691885
1536,109,44048121
1701,117,48038525
1704,118,48553922
1708,119,52244148
