instructions_covered,branches_covered,time_taken_nanos
450,29,8339830
450,29,8428658
453,30,8808438
456,31,10001179
540,41,12777542
544,42,12947474
580,45,13078092
580,45,13181318
657,51,16774559
983,65,16944481
986,66,17088434
1077,77,17258727
1080,78,17443327
1334,89,17817176
1337,90,17975706
1379,93,18187628
1379,93,19955850
1445,100,20630739
1448,101,20755385
1562,106,22389423
1601,112,22552602
1729,117,22759104
1760,125,22902896
1795,128,24259959
1800,129,25186255
2082,139,27040660
2208,154,27307416
2208,154,27462630
2209,155,27751458
2210,156,30954880
2271,160,31310875
2271,160,31422707
2274,161,31525853
2304,163,31626984
2465,174,32378108
2661,181,32594909
2673,182,33172985
2673,182,34856947
2678,183,35055093
2894,190,35418171
2894,190,35581741
2897,191,36570335
2897,192,38158376
2900,193,59788760
3133,204,64495512
3138,205,66467931
3138,205,77887870
3138,205,110146311
3138,205,116137027
3139,206,122301583
3139,206,194758147
3142,207,875986320
3142,207,1047298321
