instructions_covered,branches_covered,time_taken_nanos
238,10,8188363
241,11,8739087
347,19,11071979
347,19,11210612
350,20,11327373
685,34,11501333
930,56,12780077
930,56,12872242
933,57,12990646
934,58,13088822
934,58,13178552
934,58,13436311
977,59,13732623
1067,65,14104978
1070,66,14189549
1308,75,17916013
1350,78,18029428
1353,79,18605239
1427,83,22084295
1430,84,22244037
1532,93,23673938
1532,93,23751255
1692,101,23864088
1695,102,23951414
1821,109,26458366
1824,110,26530703
1824,110,26597570
2047,118,27553442
2047,118,27648773
2050,119,27785192
2054,120,28781580
2054,120,54049550
2054,120,54290266
2055,121,130935360
