instructions_covered,branches_covered,time_taken_nanos
597,33,10995925
600,34,11693828
736,40,14436788
739,41,14816247
868,49,15200245
868,49,15280948
995,57,18222083
998,58,18346239
1126,66,21667945
1129,67,21828790
1218,75,26402430
1218,75,26575879
1373,85,29143006
1376,86,29262943
1488,92,33223832
1491,93,33718089
1557,99,36602757
1557,99,36693048
1635,107,40918628
1638,108,41061750
1736,114,42955890
1739,115,43069977
1804,121,46973917
1807,122,47066132
1914,130,50800441
1917,131,51387223
2014,137,52425051
2017,138,52520341
2119,145,55469161
2119,145,55625888
2268,154,60181174
2271,155,60598585
2346,163,61206728
2349,164,61310094
2440,167,61633136
2440,167,61796736
2554,175,65329082
2554,175,65421057
2662,181,67820135
2665,182,67906779
2728,188,70258357
2731,189,70743817
2863,194,72711337
2866,195,72833067
3061,202,77242106
3188,209,79922086
3191,210,80179113
3260,222,82381839
3263,223,82618517
3265,224,84370969
