instructions_covered,branches_covered,time_taken_nanos
571,37,9992443
571,37,10188875
574,38,10296649
649,45,10438057
679,47,10539429
680,48,10695886
999,62,10883712
1042,68,15013270
1045,69,15142916
1117,75,18128816
1120,76,18225820
1178,81,18696513
1181,82,18969730
1290,87,21004207
1293,88,21281773
1405,95,25062721
1405,95,25219648
1448,101,30116661
1448,101,30236579
1492,107,34903716
1495,108,35068689
1604,113,36585404
1607,114,37915245
1777,119,40103844
1780,120,40648747
1858,126,41525609
2046,135,41687997
2049,136,41818474
2052,137,42178156
2485,173,43041873
2488,174,45033118
2567,184,46079812
2567,184,46217563
2631,190,48009380
2634,191,48203237
2752,196,49984875
2755,197,50309019
2757,200,50963961
2762,202,52772339
2765,203,58598042
2765,203,132784855
2765,203,315459555
2765,203,950014448
