instructions_covered,branches_covered,time_taken_nanos
336,16,8564746
339,17,8791957
813,41,8969814
813,41,9090823
816,42,9254443
819,43,10292271
883,51,13549756
886,52,13653522
1025,58,16097345
1028,59,16239675
1058,61,16368469
1297,73,16836166
1335,77,17214002
1548,93,17743325
1551,94,17913638
1551,94,18666586
1830,109,20500702
1830,109,20604940
1872,112,20851147
2081,126,22389904
2081,126,22503349
2144,133,22636491
2144,133,22756839
2531,148,24533177
2531,148,24674194
2569,152,24814951
2645,160,26725082
2645,160,26831453
2676,162,27464684
2806,167,30468759
2913,173,30684518
2913,174,31017859
2916,175,31330282
2950,177,31560969
3172,187,32377417
3172,187,32535096
3210,191,32714325
3213,192,33518800
3437,202,36952620
3437,202,37162017
3475,206,37794866
3577,214,38165168
3667,221,38406666
3670,222,39597463
3731,227,41924244
3734,228,42115076
3737,229,42520975
3737,229,89628114
3740,230,97499666
3743,231,144100616
3746,232,145227332
3746,232,163246971
3746,232,426997933
3747,233,2753836639
