instructions_covered,branches_covered,time_taken_nanos
403,29,8784242
406,30,9392636
554,38,13326473
557,39,13414209
557,40,14028213
927,53,17625492
930,54,17725342
933,55,17985505
998,61,21521839
1001,62,21602511
1076,72,24907677
1079,73,25040369
1129,80,27107156
1129,80,27174584
1169,87,29500714
1440,98,32758409
1440,98,32845414
1443,99,33364208
1693,110,35504315
1693,110,35599315
1728,113,35802951
1728,113,36106286
1754,122,36771116
1795,125,38046824
1847,129,41478540
1850,130,41563000
1922,135,45255860
1922,135,45365919
1980,139,48392816
1983,140,48509968
1985,142,48874008
1985,142,48955353
