instructions_covered,branches_covered,time_taken_nanos
437,34,8983219
437,34,9083189
440,35,9515769
443,36,9665332
470,42,12259520
528,46,12359159
627,55,14262797
627,55,14385750
1231,75,14695608
1232,76,14959388
1293,81,15554907
1296,82,15833625
1349,91,15940267
1352,92,16095682
1536,100,17901144
1539,101,18113497
1601,107,19967672
1604,108,20089353
2154,130,21331046
2157,131,21503283
2157,131,21830493
2165,135,21976169
2269,147,22943984
2347,158,24438918
2350,159,24621444
2354,160,27267560
2379,163,50338715
2379,163,245559567
2379,163,404304302
2379,163,834434391
2379,163,844295685
2379,163,911938943
2379,163,1102798707
2379,163,1248973404
2379,163,1371142896
2379,163,1498521191
2379,163,1630205910
2379,163,3244780959
2379,163,3525600506
2379,163,3576350371
2379,163,4182207577
2379,163,4216055442
2379,163,4368452654
2379,163,4578937040
2379,163,5060860080
2379,163,5062261297
2379,163,6642407039
2379,163,6783254487
2379,163,7013611935
2379,163,8492765431
2379,163,8668890473
2379,163,9861882956
