instructions_covered,branches_covered,time_taken_nanos
509,34,10304834
593,42,10473453
956,57,10633777
959,58,10745118
959,58,10835259
993,64,12768724
994,65,12969625
1054,71,13519007
1057,72,14016900
1167,77,16739712
1170,78,17346993
1279,84,21375009
1282,85,21469608
1326,92,24795844
1326,92,25045327
1441,98,28201550
1441,98,28365190
1610,103,32600629
1613,104,33236705
1722,112,33453085
1883,120,33614050
1883,120,33768683
1886,121,34073391
2318,157,36143415
2321,158,36768650
2393,167,37068158
2396,168,37714764
2460,174,38002629
2463,175,38451831
2582,180,39041609
2585,181,39314556
2585,184,44848857
2625,185,50139185
2628,186,50468059
2631,187,62377525
2636,189,127609012
2636,189,167768239
2636,189,227508035
2636,189,816350493
