instructions_covered,branches_covered,time_taken_nanos
3736,113,9250947
3785,121,9458501
3788,122,9552980
3812,127,12082725
3813,128,12344692
3881,137,14740253
3884,138,14836285
3921,143,18373260
3924,144,18466587
3966,152,19217340
3967,153,19373436
4014,159,22324309
4014,159,22424630
4032,165,26877140
4032,165,27121363
4093,174,28866030
4115,179,29301796
4116,180,29878680
4152,189,33687831
4153,190,33946300
4210,197,35595707
4213,198,36067271
4260,203,38551270
4261,204,38787337
4305,212,41535988
4306,213,41684530
4352,218,45186699
4355,219,45292489
4363,223,47760488
4505,232,47908939
4505,232,48038935
4508,233,49529060
4509,234,75903356
4512,235,113326377
