instructions_covered,branches_covered,time_taken_nanos
407,28,8736231
407,28,8828265
483,35,13420259
847,50,13582908
847,50,13674592
850,51,13824766
965,59,18460103
968,60,18611300
1246,72,20503467
1246,72,20597776
1249,73,20763810
1249,73,22602426
1293,79,25229987
1296,80,25478808
1367,87,26161873
1370,88,26314292
1436,93,28808160
1439,94,29009441
1476,99,31758002
1479,100,31902646
1704,108,33751320
1707,109,33974213
1766,114,39509105
1769,115,39720726
1833,122,40379395
1833,122,40529069
1873,128,44026779
1876,129,44352046
1876,130,45253645
1876,130,65691728
1877,131,326819925
